sym,name,rank,mcap_b,yahoo,tv,source,err,link,dot_last2,dot_bar,wt2_trough,wt2_now,close,zone_low,zone_top,pct_of_range,wk_wt2,bar_close,in_zone,pass_4h,pass_wk,flag,bucket
BTC,Bitcoin,1,1558.27,BTC-USD,COINBASE:BTCUSD,coinbase,,https://www.tradingview.com/chart/?symbol=COINBASE%3ABTCUSD,False,,-47.3039293257227,-36.32789716518026,77566.5,62471.53,67025.6102,0.7822464171799172,32.892684409317944,2026-09-14 00:00,False,False,False,False,
ETH,Ethereum,2,306.67,ETH-USD,COINBASE:ETHUSD,coinbase,,https://www.tradingview.com/chart/?symbol=COINBASE%3AETHUSD,False,,-19.69597156423165,-19.69597156423165,2511.76,1835.55,2006.237,0.9349602488765988,51.11022555787165,2026-09-14 00:00,False,False,False,False,
BNB,BNB,4,96.42,BNB-USD,COINBASE:BNBUSD,coinbase,,https://www.tradingview.com/chart/?symbol=COINBASE%3ABNBUSD,False,,-31.160037734257518,-31.160037734257518,722.49,574.72,621.6674800000001,0.7428241089830595,45.0040582319232,2026-09-14 00:00,False,False,False,False,
XRP,XRP,5,86.43,XRP-USD,COINBASE:XRPUSD,coinbase,,https://www.tradingview.com/chart/?symbol=COINBASE%3AXRPUSD,False,,-45.44182573725149,-41.132721095004904,1.3717,0.9904,1.1257224,0.6649808161841644,9.006946513341871,2026-09-14 00:00,False,False,False,False,
SOL,Solana,7,59.32,SOL-USD,COINBASE:SOLUSD,coinbase,,https://www.tradingview.com/chart/?symbol=COINBASE%3ASOLUSD,False,,-34.27968993464459,-34.27968993464459,100.94,71.2,80.21284,0.778737889499869,46.69076923835494,2026-09-14 00:00,False,False,False,False,
ZEC,Zcash,9,18.92,ZEC-USD,COINBASE:ZECUSD,coinbase,,https://www.tradingview.com/chart/?symbol=COINBASE%3AZECUSD,False,,-58.64601107732096,-58.64601107732096,1114.41,461.24,652.36696,0.8065221149334455,88.46195418930843,2026-09-14 00:00,False,False,False,False,
HYPE,Hyperliquid,10,17.77,HYPE-USD,COINBASE:HYPEUSD,coinbase,,https://www.tradingview.com/chart/?symbol=COINBASE%3AHYPEUSD,True,2026-09-13 20:00,-59.55963151568696,-54.70714818660443,79.87,51.33,60.11391999999999,0.7667920472864054,53.58308682614321,2026-09-14 00:00,False,False,False,False,
DOGE,Dogecoin,11,13.1,DOGE-USD,COINBASE:DOGEUSD,coinbase,,https://www.tradingview.com/chart/?symbol=COINBASE%3ADOGEUSD,False,,-48.517441111097554,-48.517441111097554,0.08389,0.06843,0.07485864,0.5675477239353892,-3.790375055717446,2026-09-14 00:00,False,False,False,False,
LINK,Chainlink,16,8.51,LINK-USD,COINBASE:LINKUSD,coinbase,,https://www.tradingview.com/chart/?symbol=COINBASE%3ALINKUSD,False,,-60.985297825683226,-60.21753496585581,11.372,7.998,9.234404,0.6440160335941973,56.88796579579764,2026-09-14 00:00,False,False,False,False,
ADA,Cardano,18,7.76,ADA-USD,COINBASE:ADAUSD,coinbase,,https://www.tradingview.com/chart/?symbol=COINBASE%3AADAUSD,False,,-42.25938125358852,-38.27937932757714,0.20717,0.171,0.18819732,0.49636338685330017,11.987726768667406,2026-09-14 00:00,False,False,False,False,
