tv,label,link,gold_any,fired,bar,wt2_at_confirm,wt2_now,rsi,close,last_bar
COINBASE:BTCUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ABTCUSD,False,False,,,-9.058791989580719,42.66738411807739,78399.35,2026-09-09 18:00
COINBASE:ETHUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AETHUSD,False,False,,,-6.711295182467965,44.072736574983956,2480.86,2026-09-09 18:00
COINBASE:BNBUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ABNBUSD,False,False,,,-64.57106343731074,36.5016226514856,739.68,2026-09-09 18:00
COINBASE:XRPUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AXRPUSD,False,False,,,-17.95303504041862,47.09732798059356,1.4172,2026-09-09 18:00
COINBASE:SOLUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ASOLUSD,False,False,,,-24.307722651815734,45.39603753143937,103.26,2026-09-09 18:00
COINBASE:ZECUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AZECUSD,False,False,,,59.465502583899216,64.79240649304211,1274.07,2026-09-09 18:00
COINBASE:HYPEUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AHYPEUSD,False,False,,,10.031795610217518,51.36384927016355,85.94,2026-09-09 18:00
COINBASE:DOGEUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ADOGEUSD,False,False,,,-31.742455813601026,38.95298852131047,0.08855,2026-09-09 18:00
COINBASE:LINKUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ALINKUSD,False,False,,,-70.75245187799823,29.482231719970713,11.929,2026-09-09 18:00
COINBASE:ADAUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AADAUSD,False,False,,,-42.613652740867124,43.94670413159951,0.21669,2026-09-09 18:00
COINBASE:XLMUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AXLMUSD,False,False,,,-57.521679243638424,38.77853181635242,0.18486,2026-09-09 18:00
COINBASE:BCHUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ABCHUSD,False,False,,,-15.164370821257776,46.967500250706564,257.44,2026-09-09 18:00
COINBASE:LTCUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ALTCUSD,False,False,,,-22.308994123044755,46.38175736230861,54.137,2026-09-09 18:00
COINBASE:UNIUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AUNIUSD,False,False,,,-57.81636026156709,38.51298647621222,6.5968,2026-09-09 18:00
COINBASE:AVAXUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AAVAXUSD,False,False,,,-40.795312361623466,45.176329574442505,7.93,2026-09-09 18:00
COINBASE:HBARUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AHBARUSD,False,False,,,-53.61921381403761,38.171742103601765,0.07783,2026-09-09 18:00
COINBASE:NEARUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ANEARUSD,False,False,,,63.495172129891294,64.4718552760131,2.5874,2026-09-09 18:00
COINBASE:SUIUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ASUIUSD,False,False,,,-52.37050496986105,41.327295185020766,0.7972,2026-09-09 18:00
COINBASE:SHIBUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ASHIBUSD,False,False,,,-38.63123405042246,42.6373009122472,5.35e-06,2026-09-09 18:00
COINBASE:CROUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ACROUSD,False,False,,,-38.39401355960542,46.01194516080513,0.05919,2026-09-09 18:00
COINBASE:TAOUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ATAOUSD,False,False,,,3.922548017226011,51.48576445585603,260.76,2026-09-09 18:00
