tv,label,link,gold_any,fired,bar,wt2_at_confirm,wt2_now,rsi,close,last_bar
NYSE:BNT,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ABNT,True,True,2026-09-10 14:30,-67.01981864238172,-64.91705198627938,29.458679647415522,38.13999938964844,2026-09-10 15:30
NYSE:AMRZ,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AAMRZ,True,True,2026-09-10 15:30,-62.38233488210356,-62.38233488210356,30.73991450960061,40.439998626708984,2026-09-10 15:30
NYSE:AS,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AAS,True,True,2026-09-10 14:30,-64.80948623432586,-63.222448537799835,26.350219414101602,27.360000610351562,2026-09-10 15:30
NYSE:BALL,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ABALL,True,True,2026-09-10 14:30,-65.17268085555504,-61.76888032927487,27.69031399447786,59.7400016784668,2026-09-10 15:30
NYSE:BAX,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ABAX,True,True,2026-09-10 15:30,-63.01686372457468,-63.01686372457468,32.04686905083956,24.165000915527344,2026-09-10 15:30
NYSE:CBRE,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ACBRE,True,True,2026-09-10 14:30,-65.07009420671636,-62.975098792202914,28.28817405855858,137.92999267578125,2026-09-10 15:30
NYSE:DRI,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ADRI,True,True,2026-09-10 14:30,-67.88027218840485,-65.22601812453459,28.31018265853892,207.82000732421875,2026-09-10 15:30
NYSE:ELS,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AELS,True,True,2026-09-10 15:30,-69.65889693039865,-69.65889693039865,27.54987196848579,60.349998474121094,2026-09-10 15:30
NYSE:HRL,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AHRL,True,True,2026-09-10 14:30,-62.850139708570275,-58.8431984179304,27.577943997273394,20.825000762939453,2026-09-10 15:30
NYSE:IR,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AIR,True,True,2026-09-10 15:30,-69.35714791844069,-69.35714791844069,40.98853548538343,73.06500244140625,2026-09-10 15:30
NYSE:JHX,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AJHX,True,True,2026-09-10 14:30,-69.20008866171584,-68.59627283530024,25.132660967078024,28.200000762939453,2026-09-10 15:30
NYSE:LOW,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ALOW,True,True,2026-09-10 14:30,-63.96903503763149,-60.95875796192599,34.36638116261322,196.47999572753906,2026-09-10 15:30
NYSE:MAS,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AMAS,True,True,2026-09-10 14:30,-66.81906876620421,-64.04055541888941,24.5862378025231,67.62999725341797,2026-09-10 15:30
NASDAQ:NDAQ,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3ANDAQ,True,True,2026-09-10 15:30,-74.932500655412,-74.932500655412,19.756074178552012,92.0199966430664,2026-09-10 15:30
NYSE:NIO,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ANIO,True,True,2026-09-10 14:30,-70.5105277206755,-69.14044887117807,26.55388263171436,3.575900077819824,2026-09-10 15:30
NYSE:PHG,equity,https://www.tradingview.com/chart/?symbol=NYSE%3APHG,True,True,2026-09-10 14:30,-69.33150187107161,-66.95184849152606,13.11876144578379,24.6299991607666,2026-09-10 15:30
NYSE:PPG,equity,https://www.tradingview.com/chart/?symbol=NYSE%3APPG,True,True,2026-09-10 14:30,-71.7068782253232,-67.60106933101126,26.72489269355424,105.06999969482422,2026-09-10 15:30
NYSE:RTX,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ARTX,True,True,2026-09-10 14:30,-65.0563118153193,-60.52801194543948,44.00104898690233,198.0800018310547,2026-09-10 15:30
NYSE:SJM,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ASJM,True,True,2026-09-10 14:30,-65.32157523757289,-63.29802941233658,28.528873972991462,121.04000091552734,2026-09-10 15:30
NYSE:STM,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ASTM,True,True,2026-09-10 14:30,-65.73010989294053,-60.35038292005354,42.570828197173526,50.755001068115234,2026-09-10 15:30
NYSE:SYF,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ASYF,True,True,2026-09-10 15:30,-72.30502016927132,-72.30502016927132,22.96972269303558,75.44499969482422,2026-09-10 15:30
NYSE:TOL,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ATOL,True,True,2026-09-10 14:30,-67.14119983449397,-62.880889777647745,25.708671811093936,132.0449981689453,2026-09-10 15:30
NYSE:UL,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AUL,True,True,2026-09-10 14:30,-72.3494762643167,-70.27157879958686,15.098470087902001,61.619998931884766,2026-09-10 15:30
NYSE:WTS,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AWTS,True,True,2026-09-10 15:30,-62.10348660283824,-62.10348660283824,34.75624341873386,350.2950134277344,2026-09-10 15:30
NASDAQ:IMVT,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AIMVT,True,True,2026-09-10 15:30,-65.09604388381771,-65.09604388381771,37.67224383467787,38.119998931884766,2026-09-10 15:30
NYSE:BIRK,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ABIRK,True,True,2026-09-10 15:30,-71.49041040216667,-71.49041040216667,26.16447684371201,30.68000030517578,2026-09-10 15:30
NYSE:BLDR,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ABLDR,True,True,2026-09-10 15:30,-70.43556605132675,-70.43556605132675,28.104751205500662,58.9900016784668,2026-09-10 15:30
NYSE:MTH,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AMTH,True,True,2026-09-10 14:30,-72.40099043117873,-67.99761707677759,24.232502279382544,61.970001220703125,2026-09-10 15:30
NYSE:SKT,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ASKT,True,True,2026-09-10 14:30,-65.47556427730562,-64.07314325607975,29.741344234886213,36.470001220703125,2026-09-10 15:30
NYSE:CBT,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ACBT,True,True,2026-09-10 14:30,-67.88719665666518,-60.734147724276035,40.37796420769311,78.80000305175781,2026-09-10 15:30
NYSE:SKY,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ASKY,True,True,2026-09-10 14:30,-65.4485824810432,-60.291188210713166,32.28988878684147,81.76499938964844,2026-09-10 15:30
NASDAQ:LEGN,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3ALEGN,True,True,2026-09-10 15:30,-64.23164969545223,-64.23164969545223,23.421525888256127,19.19499969482422,2026-09-10 15:30
NYSE:HAYW,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AHAYW,True,True,2026-09-10 15:30,-68.1471689445408,-68.1471689445408,18.428615512107953,12.890000343322754,2026-09-10 15:30
NYSE:PBH,equity,https://www.tradingview.com/chart/?symbol=NYSE%3APBH,True,True,2026-09-10 15:30,-63.36894211229926,-63.36894211229926,20.74426983745957,47.41999816894531,2026-09-10 15:30
NASDAQ:MLCO,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AMLCO,True,True,2026-09-10 14:30,-65.76428921657704,-59.6435490727632,35.98406357959641,5.010000228881836,2026-09-10 15:30
NASDAQ:LKFT,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3ALKFT,True,True,2026-09-10 15:30,-69.15835209966764,-69.15835209966764,15.283405922353694,26.799999237060547,2026-09-10 15:30
NASDAQ:XNCR,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AXNCR,True,True,2026-09-10 14:30,-71.08560733121784,-66.36798549781274,29.33566126227585,24.270000457763672,2026-09-10 15:30
NYSE:SCL,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ASCL,True,True,2026-09-10 15:30,-63.53085279837828,-63.53085279837828,48.47902785575751,61.65999984741211,2026-09-10 15:30
NASDAQ:IRMD,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AIRMD,True,True,2026-09-10 15:30,-69.74327785358433,-69.74327785358433,28.802946437857116,81.87000274658203,2026-09-10 15:30
