tv,label,link,gold_any,fired,bar,wt2_at_confirm,wt2_now,rsi,close,last_bar
NYSE:CNA,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ACNA,False,False,,,-54.92532575342832,37.57325765890129,47.400001525878906,2026-09-10 15:30
NYSE:RNR,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ARNR,False,False,,,-4.136812975255952,54.23901264383756,326.760009765625,2026-09-10 15:30
NASDAQ:LAMR,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3ALAMR,False,False,,,-68.58062350686694,27.03636160925622,147.5850067138672,2026-09-10 15:30
NASDAQ:FWONA,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AFWONA,False,False,,,-35.49469155367828,37.07604530807602,87.0199966430664,2026-09-10 15:30
NYSE:TAK,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ATAK,False,False,,,-64.24011493774609,27.967327976365013,18.114999771118164,2026-09-10 15:30
NYSE:IX,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AIX,False,False,,,-38.7307096033712,39.69488382686251,39.060001373291016,2026-09-10 15:30
NASDAQ:REG,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AREG,False,False,,,-57.83855038321358,47.449359479499236,75.3499984741211,2026-09-10 15:30
NYSE:STE,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ASTE,False,False,,,-63.49279004234479,23.86977766813399,212.4199981689453,2026-09-10 15:30
NASDAQ:SEIC,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASEIC,False,False,,,-46.96127262606375,28.70817168467093,106.80500030517578,2026-09-10 15:30
NYSE:MKL,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AMKL,False,False,,,-50.441844308436735,40.816844579344064,1780.4599609375,2026-09-10 15:30
NASDAQ:SSNC,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASSNC,False,False,,,-46.85008330932198,30.118603360642652,78.91000366210938,2026-09-10 15:30
NYSE:AFG,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AAFG,False,False,,,-18.996449924992195,52.52777334242319,141.5800018310547,2026-09-10 15:30
NASDAQ:FCNCA,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AFCNCA,False,False,,,-1.8936940690341377,53.4387988612583,2167.030029296875,2026-09-10 15:30
NASDAQ:EWBC,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AEWBC,False,False,,,-19.293029282215972,53.30912290231475,129.3249969482422,2026-09-10 15:30
NASDAQ:UMBF,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AUMBF,False,False,,,-68.40467885189453,29.379408000533246,139.25,2026-09-10 15:30
NYSE:CSL,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ACSL,False,False,,,-65.59746616084733,29.721740387261093,330.2699890136719,2026-09-10 15:30
NYSE:AME,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AAME,False,False,,,-58.55084051464488,41.01157145809603,234.3249969482422,2026-09-10 15:30
NYSE:BNT,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ABNT,True,True,2026-09-10 14:30,-67.01981864238172,-64.91705198627938,29.458679647415522,38.13999938964844,2026-09-10 15:30
NASDAQ:WTFC,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AWTFC,False,False,,,-50.15935823570212,45.26232499594998,150.74000549316406,2026-09-10 15:30
NYSE:SUNB,equity,https://www.tradingview.com/chart/?symbol=NYSE%3ASUNB,False,False,,,8.19253025733271,58.03557646919594,73.125,2026-09-10 15:30
NASDAQ:WSE,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AWSE,False,False,,,-76.10744980682506,22.77924122963138,11.914999961853027,2026-09-10 15:30
NYSE:ALC,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AALC,False,False,,,-73.04041873523497,13.523048858594777,66.56500244140625,2026-09-10 15:30
NYSE:ITT,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AITT,False,False,,,-65.83990272408924,34.99034212519193,196.4375,2026-09-10 15:30
NYSE:PS,equity,https://www.tradingview.com/chart/?symbol=NYSE%3APS,False,False,,,-31.536049275947104,41.63892772531173,36.82500076293945,2026-09-10 15:30
NYSE:A,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AA,False,False,,,-61.463418522638754,33.10353602691444,143.1199951171875,2026-09-10 15:30
NYSE:AA,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AAA,False,False,,,-67.00609071399181,25.01226042083985,48.244998931884766,2026-09-10 15:30
NASDAQ:AAPL,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AAAPL,False,False,,,43.015651183982754,64.53290961358343,326.4599914550781,2026-09-10 15:30
NYSE:ABBV,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AABBV,False,False,,,31.554317970781245,59.135638073465294,254.97000122070312,2026-09-10 15:30
NYSE:ABEV,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AABEV,False,False,,,14.513256854718732,55.46428874150433,3.0450000762939453,2026-09-10 15:30
NASDAQ:ABNB,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AABNB,False,False,,,-52.473456241039834,24.206673384136593,167.7100067138672,2026-09-10 15:30
NYSE:ABT,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AABT,False,False,,,-69.46189240928412,20.342427332746965,103.30000305175781,2026-09-10 15:30
TSX:ABX,equity,https://www.tradingview.com/chart/?symbol=TSX%3AABX,False,False,,,-55.38156172397018,37.58527044967311,60.13999938964844,2026-09-10 15:30
NASDAQ:ACGL,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AACGL,False,False,,,-22.91010828405157,42.1112544839082,96.26000213623047,2026-09-10 15:30
NYSE:ACN,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AACN,False,False,,,-22.918211996397943,38.57562392909392,177.72000122070312,2026-09-10 15:30
NASDAQ:ADBE,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AADBE,False,False,,,-62.841388540339075,21.168826146137732,248.3800048828125,2026-09-10 15:30
NASDAQ:ADI,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AADI,False,False,,,-22.50976706360923,48.939072364481504,361.3699951171875,2026-09-10 15:30
NYSE:ADM,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AADM,False,False,,,59.732634891730534,58.83847702325151,86.83999633789062,2026-09-10 15:30
NASDAQ:ADP,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AADP,False,False,,,-16.880289732085966,37.90975530434228,267.3450012207031,2026-09-10 15:30
NASDAQ:ADSK,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AADSK,False,False,,,-1.0021998259645806,39.662539303225934,211.5,2026-09-10 15:30
NYSE:AEE,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AAEE,False,False,,,-51.234244473190266,37.42435365325821,105.13999938964844,2026-09-10 15:30
NYSE:AEG,equity,https://www.tradingview.com/chart/?symbol=NYSE%3AAEG,False,False,,,-66.18336314205281,33.09175114316612,9.03499984741211,2026-09-10 15:30
NASDAQ:AEIS,equity,https://www.tradingview.com/chart/?symbol=NASDAQ%3AAEIS,False,False,,,-62.44453756211855,32.60409742823771,273.6199951171875,2026-09-10 15:30
