tv,name,sector,industry,mcap_b,summary
NYSE:CNA,CNA Financial Corporation,Financial Services,Insurance - Property & Casualty,12.9,"CNA Financial Corporation, an insurance holding company, primarily provides commercial property and casualty insurance products in the United States, Canada, the United Kingdom, Continental Europe, and internationally. It operates through Specialty, Commercial, International, and Life & Group segments. The company offers professional liability coverage and risk management services to various profe"
NYSE:RNR,RenaissanceRe Holdings Ltd.,Financial Services,Insurance - Reinsurance,13.4,"RenaissanceRe Holdings Ltd., together with its subsidiaries, provides reinsurance and insurance products in the United States and internationally. The company operates through Property, and Casualty and Specialty segments. The Property segment writes property catastrophe excess of loss reinsurance contracts to insure insurance and reinsurance companies against natural and man-made catastrophes, in"
NASDAQ:LAMR,Lamar Advertising Company,Real Estate,REIT - Specialty,15.1,"Lamar Advertising Company is one of the largest outdoor advertising companies in North America, with over 362,000 displays across the United States and Canada. Lamar offers advertisers a variety of billboards, interstate logo, transit and airport advertising formats, helping both local businesses and national brands reach broad audiences every day. In addition to its more traditional out-of-home i"
NASDAQ:FWONA,Liberty Media Corporation - Ser,Communication Services,Entertainment,22.0,"Formula One Group, together with its subsidiaries, engages in the motorsports business in the United States, the United Kingdom, Spain, and internationally. The company holds commercial rights for the Fédération Internationale de l'Automobile (FIA) Formula One World Championship, an annual nine-month long motor race-based competition in which teams compete for the Constructors' championship and dr"
NYSE:TAK,Takeda Pharmaceutical Company L,Healthcare,Drug Manufacturers - Specialty & Generic,58.3,"Takeda Pharmaceutical Company Limited engages in the research, development, manufacture, marketing, and out-licensing of pharmaceutical products. It offers pharmaceutical products in the areas of gastroenterology, rare diseases, plasma-derived therapies, oncology, vaccines, and neuroscience. The company provides its products under the Entyvio, Gattex/Revestive, Takecab/Vocinti, EOHILIA, Takhzyro, "
NYSE:IX,ORIX Corporation,Financial Services,Financial Conglomerates,40.6,"ORIX Corporation provides financial services in Japan, the United States, and internationally. It operates through Corporate Financial Services and Maintenance Leasing; Real Estate; PE Investment and Concession; Environment and Energy; Insurance; Banking and Credit; Aircraft and Ships; ORIX USA; ORIX Europe; and Asia and Australia. The Corporate Financial Services and Maintenance Leasing segment i"
NASDAQ:REG,Regency Centers Corporation,Real Estate,REIT - Retail,14.1,"Regency Centers Corporation is a pre-eminent national owner, operator, and developer of shopping centers located in suburban trade areas with compelling demographics. Our portfolio includes thriving properties merchandised with highly productive grocers, restaurants, service providers, and best-in-class retailers that connect to their neighborhoods, communities, and customers. Operating as a fully"
NYSE:STE,STERIS plc (Ireland),Healthcare,Medical Devices,21.1,"STERIS plc provides infection prevention products and services in the United States, Ireland, and internationally. It operates through three segments: Healthcare, Applied Sterilization Technologies, and Life Sciences. The company offers cleaning chemistries and sterility assurance products, automated endoscope reprocessing system and tracking products, endoscopy accessories, instruments, washers, "
NASDAQ:SEIC,SEI Investments Company,Financial Services,Asset Management,12.9,"SEI Investments Company is a publicly owned asset management holding company. Through its subsidiaries, the firm provides wealth management, retirement and investment solutions, asset management, asset administration, investment processing outsourcing solutions, financial services, and investment advisory services to its clients. It provides its services to private banks, independent financial adv"
TSX:QSP.UN,RESTAURANT BRANDS INTL LTD PART,Consumer Cyclical,Restaurants,36.9,"Restaurant Brands International Limited Partnership operates and franchises quick service restaurants in the United States and internationally. The company operates through six segments: Tim Hortons, Burger King, Popeyes Louisiana Kitchen, Firehouse Subs, International, and Restaurant Holdings. Its restaurants offers coffee and other beverages, baked goods, and food products under the Tim Hortons "
NYSE:MKL,Markel Group Inc.,Financial Services,Insurance - Property & Casualty,22.1,"Markel Group Inc. engages in the insurance business in the United States, the United Kingdom, Bermuda, Germany, rest of the European Union, Canada, and the Asia Pacific. It operates through Markel Insurance, Industrial, Financial, and Consumer and Other segments. The company offers general and professional liability, specialty programs, workers' compensation, and marine and energy insurance; perso"
NASDAQ:SSNC,"SS&C Technologies Holdings, Inc",Technology,Software - Application,18.6,"SS&C Technologies Holdings, Inc., together with its subsidiaries, provides software products and software-enabled services to financial services and healthcare industries in the Americas, Europe, the Middle East, Africa, and Asia Pacific. The company owns and operates technology stack across securities accounting; front-office functions, such as trading and modeling; middle-office functions compri"
NYSE:AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty,11.6,"American Financial Group, Inc., an insurance holding company, provides property and casualty insurance products in the United States. It operates through Property and Casualty Insurance and Other segments. The company offers property and transportation insurance products, such as physical damage and liability coverage for buses and trucks, other specialty transportation niches, inland and ocean ma"
NASDAQ:FCNCA,"First Citizens BancShares, Inc.",Financial Services,Banks - Regional,24.0,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals in the United States and internationally. It operates through the General Bank, Commercial Bank, and Rail segments. The General Bank segment offers deposit products, including checking, savings, mo"
